"id","album_name","track_name","popularity","duration_ms","explicit","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","track_genre"
1,"Tum Hi Aana (From ""Marjaavaan"")","Tum Hi Aana (From ""Marjaavaan"")",70,249126,FALSE,0.473,0.401,4,-7.018,0,0.0241,0.629,1.17e-05,0.154,0.345,90.076,4,"pop"
2,"Hounds Of Love","Running Up That Hill (A Deal With God)",90,298933,FALSE,0.629,0.547,10,-13.123,0,0.055,0.72,0.00314,0.0604,0.197,108.375,4,"rock"
3,"Fine Line","Watermelon Sugar",89,174000,FALSE,0.548,0.816,0,-4.209,1,0.0465,0.122,0,0.335,0.557,95.39,4,"pop"
4,"Sunny Mornings","I Feel It Coming",3,269186,FALSE,0.773,0.82,0,-5.897,0,0.115,0.394,0,0.0739,0.555,92.996,4,"pop"
5,"Elis Regina","Tiro Ao Álvaro",39,162400,FALSE,0.603,0.649,10,-7.006,1,0.104,0.463,0,0.101,0.957,93.781,4,"jazz"
6,"Weihnachten Playlist","Mistletoe",0,183066,FALSE,0.623,0.668,6,-7.282,0,0.0531,0.475,0,0.0862,0.823,161.948,4,"pop"
7,"Universally SANAM","Gulabi Aankhen",72,197759,FALSE,0.636,0.647,0,-6.97,0,0.0436,0.422,0,0.251,0.44,105.914,4,"pop"
8,"Herbststimmung","If You Lie Down With Me",5,265186,FALSE,0.641,0.346,0,-9.508,1,0.036,0.913,3.99e-05,0.104,0.187,122.101,4,"pop"
9,"Blue and Sentimental","Flippity Flop Flop",40,124253,FALSE,0.729,0.216,0,-10.865,1,0.0795,0.735,0,0.0615,0.755,129.851,4,"jazz"
10,"Where The Shadow Ends","Someone To You",77,219801,FALSE,0.52,0.903,2,-5.497,1,0.042,0.00517,0,0.254,0.652,74.988,4,"rock"
11,"Jhoom","Jhoom - R&B Mix",73,298986,FALSE,0.662,0.4,2,-11.2,1,0.0548,0.735,1.65e-05,0.0863,0.617,79.972,4,"pop"
12,"Low-Key Hits","Habits of My Heart",0,210639,FALSE,0.392,0.496,7,-7.632,1,0.114,0.664,0.000114,0.34,0.589,72.024,4,"rock"
13,"American Beauty/American Psycho","Centuries",80,228360,FALSE,0.393,0.858,4,-2.868,0,0.0729,0.00359,0,0.102,0.56,176.042,4,"rock"
14,"Halloween Party 2022","Dance Macabre",0,219720,FALSE,0.619,0.696,7,-6.263,0,0.0315,1.93e-05,0.00555,0.38,0.727,125.984,4,"rock"
15,"Munbe Vaa","Munbe Vaa",66,149460,FALSE,0.51,0.407,1,-9.671,1,0.0334,0.628,1.73e-06,0.12,0.22,120.085,4,"pop"
16,"Halloween 2022","Zombie",0,307440,FALSE,0.252,0.738,7,-5.326,1,0.0446,0.0145,0.000497,0.375,0.256,165.187,4,"rock"
17,"Halloween Party 2022","all the good girls go to hell",3,168839,FALSE,0.854,0.446,1,-8.957,0,0.198,0.313,0.215,0.156,0.57,92.545,4,"pop"
18,"Christmas Playlist 2022","Hark! The Herald Angels Sing - Remastered 1999",0,109453,FALSE,0.418,0.307,2,-10.296,1,0.0275,0.721,0,0.133,0.332,105.515,4,"jazz"
19,"Coffee Break","Feeling Good",1,175021,FALSE,0.428,0.414,7,-5.729,0,0.0403,0.897,0,0.238,0.508,79.108,4,"jazz"
